,activation_fn,dropout,neurons,F1
0,[3],[0.9889743181110722],[187],-0.07607843847815944
1,[2],[0.16990340574563145],[165],-0.24460232046387426
2,[1],[0.2354609955115191],[480],-0.22047094652343624
3,[2],[0.7620485063442219],[193],-0.079833672719783
4,[3],[0.6379032054774596],[84],-0.16513144593601664
5,[3],[0.1660242286020609],[416],-0.27481869495324296
6,[1],[0.05708826551758894],[239],-0.24465279616022634
7,[3],[0.0731751499172455],[334],-0.2700027410586577
8,[2],[0.5384855364818146],[356],-0.17834939798275545
9,[2],[0.07198052799637722],[366],-0.2547177701647395
10,[3],[0.8166805929227077],[241],-0.12050439591949721
11,[3],[0.23400645868001058],[393],-0.3010006593223219
12,[1],[0.7868804899572854],[156],-0.16760665981190584
13,[1],[0.8168178585032222],[191],-0.12012432790140808
14,[3],[0.894776052357879],[40],-0.07836038012663682
15,[0],[0.13076791268871346],[172],-0.23666283406587924
16,[3],[0.360389763959597],[75],-0.2266589967814677
17,[3],[0.35883814699268823],[50],-0.2106424773333127
18,[3],[0.00905424152521872],[45],-0.2628843789992497
19,[1],[0.28819793593484455],[318],-0.20110016566564223
20,[0],[0.4586001990222274],[442],-0.1524948696931993
21,[0],[0.2061669643909944],[71],-0.24939778818131772
22,[3],[0.4460866416336943],[349],-0.23407339254828052
23,[3],[0.30802080277090926],[416],-0.231156827183218
24,[3],[0.6296730111439619],[393],-0.17149328458309737
25,[0],[0.12055065909406065],[74],-0.2555981341813854
26,[3],[0.0025447129752341757],[16],-0.21031870717445766
27,[3],[0.26191961484215054],[456],-0.3010016669683568
28,[3],[0.3744434124955508],[68],-0.23100009618342326
29,[3],[0.5566737126855595],[298],-0.2195952101641822
30,[2],[0.2590821420350352],[136],-0.2268805142803806
31,[0],[0.44387491482199504],[81],-0.22039613432730204
32,[3],[0.22772646338056352],[108],-0.26049280638047784
33,[2],[0.3179486768559437],[8],-0.07608360816149023
34,[3],[0.6346324065637684],[214],-0.18390258346150587
35,[1],[0.18579242600123552],[134],-0.29234052165450813
36,[3],[0.40516694123605723],[456],-0.2385290495990518
37,[2],[0.1541734306368118],[6],-0.08994318757586336
38,[3],[0.5073764710025188],[468],-0.2120817327785433
39,[1],[0.038054193474475445],[403],-0.2902145107727515
40,[3],[0.5746015918518204],[484],-0.20155615043265432
41,[2],[0.7142413022241818],[88],-0.09807656800732552
42,[3],[0.0888257770300678],[361],-0.28785288342719445
43,[0],[0.2715001915234398],[405],-0.2479742380933482
44,[1],[0.4974707301133785],[362],-0.1693020749062248
45,[3],[0.9949144775161056],[376],-0.07607809385758288
46,[2],[0.2170809722987564],[200],-0.24142943178429305
47,[3],[0.11115160623423125],[448],-0.2833567369488413
48,[3],[0.3345497657492255],[377],-0.2370139811384795
49,[1],[0.39810397162157385],[116],-0.24065101510374398
50,[0],[0.7101578282934222],[182],-0.13964003375940137
51,[3],[0.024843706528974885],[27],-0.23096602633775978
52,[3],[0.18508054273335994],[315],-0.3130944213711436
53,[3],[0.9080508870484284],[474],-0.09708331942696927
54,[2],[0.17013667463541837],[418],-0.24898569992505148
55,[1],[0.0840555943692122],[139],-0.2755001444493255
56,[0],[0.5972528401920101],[311],-0.17911534456492811
57,[3],[0.2553427168687141],[117],-0.2382451226310691
58,[3],[0.14414170172378807],[452],-0.277046802583944
59,[3],[0.4795674207279892],[438],-0.23460616020154287
60,[0],[0.41432670223112034],[48],-0.24087762437609744
61,[2],[0.18698671431525374],[431],-0.24644506128359206
62,[3],[0.2897958648209115],[463],-0.3104569655305475
63,[1],[0.34404171304628073],[388],-0.2015824200262057
64,[3],[0.053341907762284424],[199],-0.32456689255829874
65,[3],[0.05676527567316664],[368],-0.2808898922930378
66,[3],[0.28856588582099163],[205],-0.2583692105069492
67,[3],[0.12028331469706849],[494],-0.27773949931998265
68,[3],[0.30079691914983486],[216],-0.24428642015684812
69,[3],[0.20431973152957497],[203],-0.2578330563728949
70,[3],[0.0027826124492105475],[486],-0.2573258771046679
71,[3],[0.04726259798783647],[391],-0.2753612514036059
72,[3],[0.3732910573837804],[370],-0.23925721531269334
73,[3],[0.09773787896684108],[41],-0.25026537094524676
74,[3],[0.2452054023757203],[69],-0.2299318002025566
75,[0],[0.14869566099735992],[240],-0.27102170567145545
76,[3],[0.4368056796040739],[93],-0.19639924785865084
77,[2],[0.1722965866084225],[476],-0.2503672402747871
78,[1],[0.5296346278306866],[39],-0.1863475338339051
