,gamma,lr,momentum,n_d,n_independent,n_shared,n_steps,F1
0,[0.03317348406395182],[2],[0.3469393397858053],[4],[2],[1],[4],-0.044141717488074224
1,[0.4440334261450346],[0],[0.35947164108527435],[40],[0],[2],[0],-0.2844134101156996
2,[0.23711712831999232],[1],[0.041737467681311965],[53],[3],[1],[0],-0.30196415885981515
3,[0.17144476902229278],[0],[0.16844846904914393],[18],[3],[2],[4],-0.32629771965292603
4,[0.16143140685411295],[4],[0.31340256520634646],[53],[2],[0],[0],-0.026288128154075895
5,[0.4513747538965134],[0],[0.2743957816195599],[11],[0],[2],[1],-0.2952891838859063
6,[0.8838642607380908],[2],[0.049285037262148654],[23],[1],[1],[1],-0.12177097574396434
7,[0.9663861058405377],[0],[0.09536733722388467],[32],[1],[0],[0],-0.32871067276788896
8,[0.9740241374688179],[3],[0.18714873808803692],[33],[2],[0],[4],-0.03979454764231272
9,[0.40917801527526054],[1],[0.3143587660547765],[42],[1],[0],[3],-0.25509936064197897
10,[0.14636884512576498],[2],[0.19083165378692135],[6],[0],[1],[2],-0.078706912113409
11,[0.032413418909691516],[2],[0.2301879201120263],[52],[2],[2],[0],-0.24278903418678888
12,[0.021826771813035606],[1],[0.1501511269691378],[51],[1],[1],[1],-0.28285336037438774
13,[0.976867658398363],[0],[0.22890058946111694],[51],[0],[3],[2],-0.3255365371727819
14,[0.16167445969941885],[3],[0.3090671750306469],[20],[3],[2],[1],-0.02491855019717246
15,[0.6343939023964753],[1],[0.2469411097304926],[14],[0],[0],[4],-0.2029254885833198
16,[0.38016126391860905],[3],[0.10151456036061067],[1],[3],[2],[6],-0.05247196356157401
17,[0.7003510897447602],[4],[0.2422082721665565],[3],[3],[1],[3],-0.07609921395759281
18,[0.6725591808634579],[0],[0.011870580713980313],[30],[0],[3],[0],-0.32462964763733626
19,[0.4599778849237395],[4],[0.167260304668277],[3],[2],[2],[2],-0.05665693427245704
20,[0.8133684718713711],[0],[0.12070574621695827],[18],[1],[0],[5],-0.30077510148956155
21,[0.31266606435399313],[0],[0.09017208204421423],[32],[1],[3],[5],-0.3281266972103014
22,[0.3096195344870536],[0],[0.08244421282242702],[32],[1],[3],[5],-0.30536137994331286
23,[0.5664950765839856],[0],[0.016773691095670618],[32],[1],[3],[5],-0.29871383263827794
24,[0.5383383891114126],[0],[0.07157340950018959],[34],[1],[3],[5],-0.35377201360522076
25,[0.7850189708407833],[0],[0.12512339665504182],[54],[1],[0],[6],-0.33813246060719665
26,[0.7715849242444851],[0],[0.13653552032223706],[34],[1],[3],[6],-0.29594953959166265
27,[0.5801043751687175],[0],[0.05571845575975086],[43],[1],[0],[6],-0.34853685398308937
28,[0.5437645810457328],[4],[0.05934372243922836],[48],[1],[3],[6],-0.031114421624932827
29,[0.6050812549274304],[3],[0.014861679317566455],[43],[1],[3],[5],-0.04513692052149917
30,[0.519233015147162],[2],[0.3788476602449139],[46],[1],[0],[6],-0.08345429610368581
31,[0.720739052060129],[0],[0.06428046616934996],[24],[1],[0],[6],-0.3464806641769936
32,[0.8782819586373011],[0],[0.02827089570350365],[19],[1],[3],[5],-0.3300669891935524
33,[0.30392540737482904],[1],[0.071173902888794],[27],[2],[0],[3],-0.2130834462148984
34,[0.4913524579818449],[0],[0.03940588725143155],[0],[3],[3],[6],-0.3054845441818102
35,[0.6064641089235633],[4],[0.11412905975665488],[44],[1],[1],[4],-0.047083510071992886
36,[0.36124970234241827],[0],[0.14869814266480622],[45],[2],[0],[5],-0.33950383126679773
37,[0.2375799239837611],[2],[0.03743992076923867],[7],[1],[3],[2],-0.07976050926574817
38,[0.8991684542977154],[3],[0.2081989018805488],[10],[3],[0],[5],-0.03507793362767852
39,[0.08176261856145783],[0],[0.16862263178418044],[35],[0],[1],[3],-0.34067597525332144
40,[0.24369883637215484],[1],[0.07769381311285727],[9],[1],[0],[1],-0.23604228176285028
41,[0.42387950035234545],[0],[0.28341530211578864],[49],[2],[2],[4],-0.32884778504108625
42,[0.49014359750785286],[2],[0.10207827708706349],[29],[1],[3],[0],-0.26931808196294404
43,[0.6558593331768166],[4],[0.04753863628174387],[43],[0],[0],[6],-0.05711663327289677
44,[0.7399990400995684],[0],[0.34076354946098486],[47],[1],[1],[1],-0.3536110365126099
45,[0.83465076634214],[3],[0.34158773530074404],[47],[3],[1],[1],-0.07334105441374715
46,[0.9209370358158491],[1],[0.38609426039773836],[21],[1],[1],[1],-0.30700197390541994
